Nome,Prezzo,R
Sommer,33,P
Di Gregorio,33,P
Meret,27,P
Maignan,27,P
Svilar,24,P
Carnesecchi,21,P
Provedel,18,P
Milinkovic-Savic V.,15,P
De Gea,15,P
Skorupski,12,P
Gollini,12,P
Falcone,12,P
Okoye,9,P
Audero,6,P
Montipo',3,P
Suzuki,3,P
Scuffet,1,P
Turati,1,P
Joronen,1 ,P
Vasquez D.,1,P
Dimarco,36,D
Hernandez T.,33,D
Buongiorno,22,D
Bremer,21,D
Pavard,21,D
Bellanova,21,D
Di Lorenzo,18,D
Bastoni,18,D
Cambiaso,18,D
Dodo',15,D
Gosens,13,D
Ruggeri,13,D
Spinazzola,12,D
Tomori,12,D
Rrahmani,12,D
Dumfries,10,D
Pavlovic,10,D
Romagnoli,10,D
Coco,10,D
Vasquez,9,D
Miranda J.,9,D
Danilo,7,D
Mancini,7 ,D
Kossounou,7 ,D
Bijol,7 ,D
Darmian,7 ,D
Dorgu,7 ,D
Hien,7 ,D
Posch,7 ,D
Acerbi,6,D
Martinez Quarta,6,D
Sergi Roberto,6,D
Kolasinac,6,D
Sosa B.,6,D
Martin,6,D
Carlos Augusto,5,D
Luperto,5,D
Biraghi,5,D
Cabal,5,D
Gatti,4,D
Zortea,4,D
Emerson Royal,3,D
Angelino,3,D
Dossena,3,D
Mina,3,D
Beukema,3,D
Valeri,3,D
Zanoli,3,D
Circati,3,D
Delprato,3,D
Gallo,3,D
Bisseck,3,D
Idzes,3,D
N'Dicka,2,D
Pulisic,39,C
Zaccagni,39,C
Calhanoglu,36,C
Orsolini,36,C
Man,33,C
Koopmeiners,30,C
Barella,25,C
Neres,22,C
Colpani,22,C
Pellegrini Lo.,22,C
Strefezza,18,C
Samardzic,17,C
Douglas Luiz,16,C
Frattesi,16,C
McTominay,15,C
Bernabe',15,C
Pasalic,14,C
Chukwueze,14,C
Maldini,14,C
Loftus-Cheek,13,C
Politano,12,C
Ederson D.s.,12,C
Fabbian,12,C
Coinceicao,12,C
Zaniolo,10,C
Pessina,10,C
Suslov,9,C
Reijnders,9,C
Malinovskyi,9,C
Ilic,9,C
Mkhitaryan,8,C
Da Cunha,8,C
Tchaouna,8,C
Brescianini,7,C
Fazzini,7,C
Harroui,6,C
Messias,6,C
Gaetano,6,C
Lovric,5,C
Ekkelenkamp,5,C
Marchwinski,4,C
Paz N.,3,C
Ndoye,3,C
Thuram K.,3,C
Zielinski,3,C
Oristanio,3,C
Iling Junior,3,C
Vlasic,3,C
Frendrup,3,C
Lazovic,3,C
Ricci S.,3,C
Busio,3,C
Martinez L.,105,A
Vlahovic,105,A
Thuram,81,A
Lukaku,75,A
Kvaratskhelia,75,A
Dybala,66,A
Retegui,66,A
Dovbyk,63,A
Morata,60,A
Leao,57,A
Zapata D.,54,A
Lookman,45,A
Gudmundsson A.,45,A
Yildiz,39,A
De Ketelaere,36,A
Soule',33,A
Gonzalez N.,30,A
Kean,27,A
Pohjanpalo,27,A
Krstovic,27,A
Taremi,25,A
Lucca,24,A
Castellanos,21,A
Dia,21,A
Thauvin,18,A
Bonny,18,A
Adams C.,17,A
Dallinga,16,A
Castro S.,16,A
Noslin,15,A
Colombo,15,A
Belotti,12,A
Piccoli,12,A
Luvumbo,12,A
Vitinha O.,12,A
Beltran L.,12,A
Rebic,9,A
Esposito Se.,7,A
Cutrone,6,A
Sanchez,6,A
Mosquera,3,A
Sanabria,3,A
Caprari,3,A
Brenner,3,A
Mihaila,3,A
Abraham,2,A
Isaksen,2,A
Okafor,2,A
Simeone,2,A
Tengstedt,2,A
Djuric,2,A
Almqvist,2,A
Raspadori,2,A
Benedyczak,2,A
Mota,2,A
Ngonge,2,A
Cancellieri,2,A
Rocha Livramento,2,A
Mbangula,2,A

